,Day,Residential[USD/Mcf],Commercial[USD/Mcf],Industrial[USD/Mcf],ElectricPower[USD/Mcf],CityGate[USD/Mcf]
0,1,13.5,10.4,9.12,4.99,3.4
1,2,13.5,10.4,9.12,4.99,3.4
2,3,13.5,10.4,9.12,4.99,3.4
3,4,13.5,10.4,9.12,4.99,3.4
4,5,13.5,10.4,9.12,4.99,3.4
5,6,13.5,10.4,9.12,4.99,3.4
6,7,13.5,10.4,9.12,4.99,3.4
7,8,13.5,10.4,9.12,4.99,3.4
8,9,13.5,10.4,9.12,4.99,3.4
9,10,13.5,10.4,9.12,4.99,3.4
10,11,13.5,10.4,9.12,4.99,3.4
11,12,13.5,10.4,9.12,4.99,3.4
12,13,13.5,10.4,9.12,4.99,3.4
13,14,13.5,10.4,9.12,4.99,3.4
14,15,13.5,10.4,9.12,4.99,3.4
15,16,13.5,10.4,9.12,4.99,3.4
16,17,13.5,10.4,9.12,4.99,3.4
17,18,13.5,10.4,9.12,4.99,3.4
18,19,13.5,10.4,9.12,4.99,3.4
19,20,13.5,10.4,9.12,4.99,3.4
20,21,13.5,10.4,9.12,4.99,3.4
21,22,13.5,10.4,9.12,4.99,3.4
22,23,13.5,10.4,9.12,4.99,3.4
23,24,13.5,10.4,9.12,4.99,3.4
24,25,13.5,10.4,9.12,4.99,3.4
25,26,13.5,10.4,9.12,4.99,3.4
26,27,13.5,10.4,9.12,4.99,3.4
27,28,13.5,10.4,9.12,4.99,3.4
28,29,13.5,10.4,9.12,4.99,3.4
29,30,13.5,10.4,9.12,4.99,3.4
30,31,13.5,10.4,9.12,4.99,3.4
31,32,13.08,9.89,8.61,4.99,3.71
32,33,13.08,9.89,8.61,4.99,3.71
33,34,13.08,9.89,8.61,4.99,3.71
34,35,13.08,9.89,8.61,4.99,3.71
35,36,13.08,9.89,8.61,4.99,3.71
36,37,13.08,9.89,8.61,4.99,3.71
37,38,13.08,9.89,8.61,4.99,3.71
38,39,13.08,9.89,8.61,4.99,3.71
39,40,13.08,9.89,8.61,4.99,3.71
40,41,13.08,9.89,8.61,4.99,3.71
41,42,13.08,9.89,8.61,4.99,3.71
42,43,13.08,9.89,8.61,4.99,3.71
43,44,13.08,9.89,8.61,4.99,3.71
44,45,13.08,9.89,8.61,4.99,3.71
45,46,13.08,9.89,8.61,4.99,3.71
46,47,13.08,9.89,8.61,4.99,3.71
47,48,13.08,9.89,8.61,4.99,3.71
48,49,13.08,9.89,8.61,4.99,3.71
49,50,13.08,9.89,8.61,4.99,3.71
50,51,13.08,9.89,8.61,4.99,3.71
51,52,13.08,9.89,8.61,4.99,3.71
52,53,13.08,9.89,8.61,4.99,3.71
53,54,13.08,9.89,8.61,4.99,3.71
54,55,13.08,9.89,8.61,4.99,3.71
55,56,13.08,9.89,8.61,4.99,3.71
56,57,13.08,9.89,8.61,4.99,3.71
57,58,13.08,9.89,8.61,4.99,3.71
58,59,13.08,9.89,8.61,4.99,3.71
59,60,13.28,10.49,9.01,4.53,3.57
60,61,13.28,10.49,9.01,4.53,3.57
61,62,13.28,10.49,9.01,4.53,3.57
62,63,13.28,10.49,9.01,4.53,3.57
63,64,13.28,10.49,9.01,4.53,3.57
64,65,13.28,10.49,9.01,4.53,3.57
65,66,13.28,10.49,9.01,4.53,3.57
66,67,13.28,10.49,9.01,4.53,3.57
67,68,13.28,10.49,9.01,4.53,3.57
68,69,13.28,10.49,9.01,4.53,3.57
69,70,13.28,10.49,9.01,4.53,3.57
70,71,13.28,10.49,9.01,4.53,3.57
71,72,13.28,10.49,9.01,4.53,3.57
72,73,13.28,10.49,9.01,4.53,3.57
73,74,13.28,10.49,9.01,4.53,3.57
74,75,13.28,10.49,9.01,4.53,3.57
75,76,13.28,10.49,9.01,4.53,3.57
76,77,13.28,10.49,9.01,4.53,3.57
77,78,13.28,10.49,9.01,4.53,3.57
78,79,13.28,10.49,9.01,4.53,3.57
79,80,13.28,10.49,9.01,4.53,3.57
80,81,13.28,10.49,9.01,4.53,3.57
81,82,13.28,10.49,9.01,4.53,3.57
82,83,13.28,10.49,9.01,4.53,3.57
83,84,13.28,10.49,9.01,4.53,3.57
84,85,13.28,10.49,9.01,4.53,3.57
85,86,13.28,10.49,9.01,4.53,3.57
86,87,13.28,10.49,9.01,4.53,3.57
87,88,13.28,10.49,9.01,4.53,3.57
88,89,13.28,10.49,9.01,4.53,3.57
89,90,13.28,10.49,9.01,4.53,3.57
90,91,12.95,9.51,7.86,3.28,2.56
91,92,12.95,9.51,7.86,3.28,2.56
92,93,12.95,9.51,7.86,3.28,2.56
93,94,12.95,9.51,7.86,3.28,2.56
94,95,12.95,9.51,7.86,3.28,2.56
95,96,12.95,9.51,7.86,3.28,2.56
96,97,12.95,9.51,7.86,3.28,2.56
97,98,12.95,9.51,7.86,3.28,2.56
98,99,12.95,9.51,7.86,3.28,2.56
99,100,12.95,9.51,7.86,3.28,2.56
100,101,12.95,9.51,7.86,3.28,2.56
101,102,12.95,9.51,7.86,3.28,2.56
102,103,12.95,9.51,7.86,3.28,2.56
103,104,12.95,9.51,7.86,3.28,2.56
104,105,12.95,9.51,7.86,3.28,2.56
105,106,12.95,9.51,7.86,3.28,2.56
106,107,12.95,9.51,7.86,3.28,2.56
107,108,12.95,9.51,7.86,3.28,2.56
108,109,12.95,9.51,7.86,3.28,2.56
109,110,12.95,9.51,7.86,3.28,2.56
110,111,12.95,9.51,7.86,3.28,2.56
111,112,12.95,9.51,7.86,3.28,2.56
